rotation,row,col,cell,stagegrid,newtime
audience,1,-1,-1,offstage,0
audience,1,-1,-1,offstage,22.66078073
audience,1,-1,-1,offstage,32.96113561
audience,1,-1,-1,offstage,49.44170342
audience,1,-1,-1,offstage,65.92227123
audience,1,-1,-1,offstage,82.40283904
audience,1,-1,-1,offstage,99.91344233
audience,1,-1,-1,offstage,115.3639746
audience,1,-1,-1,offstage,131.8445425
audience,1,-1,-1,offstage,148.3251103
audience,1,-1,-1,offstage,164.8056781
audience,1,-1,-1,offstage,181.2862459
audience,1,-1,-1,offstage,197.7668137
audience,1,-1,-1,offstage,214.2473815
audience,1,-1,-1,offstage,230.7279493
audience,1,-1,-1,offstage,247.2085171
audience,1,-1,-1,offstage,263.6890849
audience,1,-1,-1,offstage,281.1996882
audience,1,-1,-1,offstage,296.6502205
audience,1,-1,-1,offstage,313.1307883
audience,1,-1,-1,offstage,329.6113561
audience,1,-1,-1,offstage,346.0919239
audience,1,-1,-1,offstage,362.5724918
audience,1,-1,-1,offstage,379.0530596
audience,1,-1,-1,offstage,395.5336274
audience,1,-1,-1,offstage,412.0141952
audience,1,-1,-1,offstage,428.494763
audience,1,-1,-1,offstage,444.9753308
audience,1,-1,-1,offstage,461.4558986
audience,1,-1,-1,offstage,477.9364664
audience,1,-1,-1,offstage,494.4170342
audience,1,-1,-1,offstage,510.897602
audience,1,-1,-1,offstage,527.3781698
audience,1,-1,-1,offstage,543.8587376
audience,1,-1,-1,offstage,560.3393054
audience,1,-1,-1,offstage,576.8198732
audience,1,-1,-1,offstage,593.3004411
audience,1,-1,-1,offstage,609.7810089
audience,1,-1,-1,offstage,626.2615767
audience,1,-1,-1,offstage,642.7421445
audience,1,-1,-1,offstage,659.2227123
audience,1,-1,-1,offstage,675.7032801
audience,1,-1,-1,offstage,692.1838479
audience,1,-1,-1,offstage,708.6644157
audience,1,-1,-1,offstage,725.1449835
audience,1,-1,-1,offstage,741.6255513
audience,1,-1,-1,offstage,758.1061191
audience,1,-1,-1,offstage,774.5866869
audience,1,-1,-1,offstage,791.0672547
